Country Name,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Tests,Population
USA,31990143,576298,24560856,6852989,420822699,"332,516,170"
India,13689453,171089,12253697,1264667,259207108,"1,390,568,032"
Brazil,13521409,355031,11957068,1209310,28600000,"213,737,070"
France,5067216,99135,310934,4657147,70140847,"65,386,285"
Russia,4657883,103601,4281776,272506,124100000,"145,983,351"
UK,4373343,127100,3981812,264431,136821861,"68,164,143"
Turkey,3903573,34182,3372629,496762,41892922,"85,045,404"
Italy,3779594,114612,3140565,524417,53245501,"60,392,321"
Spain,3370256,76525,3111026,182705,44285495,"46,768,927"
Germany,3021064,79110,2700200,241754,51559277,"83,993,045"
Poland,2599850,59126,2219655,321069,13062929,"37,814,209"
Colombia,2552937,66156,2395733,91048,13367485,"51,305,017"
Argentina,2551999,57957,2247124,246918,9655684,"45,518,759"
Mexico,2281840,209702,1812694,259444,6279527,"129,987,170"
Iran,2093452,64764,1720084,308604,13770167,"84,829,001"
Ukraine,1872785,37758,1430234,404793,8677716,"43,528,048"
Peru,1653320,55230,1575242,22848,10026470,"33,328,876"
Czechia,1585037,28038,1473483,83516,14635011,"10,724,495"
Indonesia,1577526,42782,1426145,108599,13510828,"275,774,906"
South Africa,1559113,53356,1484356,21401,10154978,"59,890,253"
Netherlands,1357340,16791,28706,3306,11292587,"17,164,474"
Chile,1082920,24483,1012904,45533,11971224,"19,244,023"
Canada,1071016,23356,972525,75135,29142269,"37,999,909"
Romania,1012373,25441,915464,71468,7736296,"19,137,193"
Iraq,932899,14757,820532,97610,8552580,"40,921,569"
Belgium,927229,23503,59873,843853,11723475,"11,628,975"
Philippines,884783,15286,703963,165534,10814501,"110,715,077"
Sweden,857401,13621,28706,3306,7847033,"10,148,363"
Israel,836158,6304,826494,3360,13778191,"9,197,590 "
Portugal,827765,16918,785063,25784,9530238,"10,173,455"
Pakistan,729920,15619,638267,76034,10829994,"224,218,687"
Hungary,728078,23980,431124,272974,4976613,"9,641,167"
Bangladesh,691957,9822,581113,101022,5037833,"165,966,798"
Jordan,669300,7855,604044,57401,6348440,"10,281,995"
Serbia,645173,5773,560934,78466,3601063,"8,709,834"
Switzerland,623126,10466,560294,52366,6412371,"8,703,948"
Austria,581263,9748,541786,29729,27197861,"9,046,471"
Japan,506286,9400,465916,30970,10454733,"126,173,611"
Morocco,502277,8909,488632,4736,6106431,"37,250,917"
Lebanon,497854,6703,406095,85056,3719848,"6,801,526"
UAE,485675,1533,470175,13967,40403698,"9,983,359"
Saudi Arabia,399277,6765,384027,8485,15857235,"35,235,026"
Bulgaria,375115,14619,289356,71140,2287726,"6,907,472"
Slovakia,372038,10716,255300,106022,2449747,"5,461,708"
Malaysia,363940,1345,346295,16300,8292260,"32,688,487"
Panama,358792,6167,348554,4071,2243777,"4,367,524"
Ecuador,347070,17298,290314,39458,1195370,"17,851,195"
Belarus,336881,2363,327087,7431,5563117,"9,446,894"
Greece,297086,8961,254804,33321,7109471,"10,383,207"
Croatia,294874,6358,276420,12096,1652525,"4,085,445"
Georgia,290129,3894,278251,7984,3722612,"3,983,180"
Azerbaijan,287144,3944,251760,31440,3026132,"10,210,354"
Bolivia,283084,12469,232422,38193,999531,"11,796,807"
Nepal,280524,3053,274165,3306,2317284,"29,543,475"
Kazakhstan,273825,3260,235862,34703,9258849,"18,951,428"
Tunisia,272940,9332,226070,37538,1186045,"11,914,881"
Palestine,270856,2883,234698,33275,1636553,"5,193,231"
Dominican Republic,258039,3392,216780,37867,1348754,"10,932,601"
Kuwait,248729,1412,232556,14761,2169047,"4,319,647"
Moldova,241820,5409,223822,12589,905532,"4,026,631"
Ireland,241330,4785,23364,213181,4196113,"4,980,708"
Denmark,238306,2443,227244,8619,29457120,"5,808,121"
Paraguay,237542,4889,194987,37666,981681,"7,200,687"
Ethiopia,230944,3208,171980,55756,2453287,"117,166,929"
Lithuania,227889,3713,207391,16785,2516597,"2,692,476"
Slovenia,227836,4130,209920,13786,1109932,"2,079,161"
Costa Rica,222544,3018,194760,24766,842015,"5,130,346"
Egypt,211307,12487,159999,38821,2677262,"103,831,623"
Armenia,204053,3775,183660,16618,909604,"2,967,568"
Guatemala,203309,7020,186127,10162,1108633,"18,172,684"
Honduras,196086,4861,75952,115273,542768,"10,026,957"
Qatar,190998,335,170194,20469,1808736,"2,807,805 "
Bosnia and Herzegovina,184698,7487,141602,35609,846536,"3,264,840"
Venezuela,175812,1795,158399,15618,3359014,"28,372,923"
Oman,174364,1798,154771,17795,1550000,"5,207,086"
Libya,169504,2830,154220,12454,919189,"6,943,932"
Nigeria,163837,2061,154177,7599,1838174,"210,092,733"
Bahrain,157729,562,145953,11214,3798472,"1,747,137"
Uruguay,147173,1533,113125,32515,1532512,"3,483,126"
Kenya,146156,2368,99210,44578,1564827,"54,688,827"
Myanmar,142596,3206,131869,7521,2555312,"54,694,134"
North Macedonia,142034,4262,117794,19978,670333,"2,083,307"
Albania,128518,2321,98269,27928,585329,"2,875,341"
Algeria,118645,3134,82704,32807,230861,"44,465,491"
Estonia,115080,1049,96844,17187,1204118,"1,327,232"
S. Korea,110688,1775,101332,7581,8200519,"51,303,652"
Latvia,108355,2002,99324,7029,2049958,"1,869,845"
Norway,104269,687,88952,14630,4878675,"5,454,272"
Sri Lanka,95394,598,91775,3021,2374627,"21,483,302"
Montenegro,94419,1381,88834,4204,353329,"628,128"
Ghana,91260,754,89092,1414,1025654,"31,575,645"
Kyrgyzstan,90599,1532,86152,2915,908302,"6,607,775"
Zambia,90064,1227,88077,760,1308716,"18,781,755"
Cuba,87385,467,81900,5018,3235144,"11,321,213"
Uzbekistan,85291,634,83089,1568,1377915,"33,846,159"
Finland,82564,874,46000,35690,4182779,"5,547,442"
Mozambique,68792,791,59401,8600,496890,"31,932,011"
El Salvador,66657,2054,63072,1531,873873,"6,511,733"
Luxembourg,63880,772,59988,3120,2510240,"633,887"
Cameroon,61731,919,56926,3886,1257949,"27,057,111"
Singapore,60692,30,60357,305,8789647,"5,886,193"
Afghanistan,57492,2532,52013,2947,374076,"39,607,351"
Cyprus,52033,273,39061,12699,4001418,"1,214,209"
Namibia,45787,575,43721,1491,363659,"2,576,611"
Ivory Coast,45227,268,44683,276,557294,"26,883,682"
Botswana,43444,663,38923,3858,958802,"2,388,438"
Jamaica,42763,676,19017,23070,305709,"2,971,251"
Uganda,41174,337,40779,58,969637,"46,855,361"
Senegal,39465,1079,38215,171,455488,"17,085,094"
Zimbabwe,37307,1542,34901,864,394257,"15,031,062"
Thailand,34575,97,28288,6190,8124896,"69,936,717"
Malawi,33859,1132,31572,1155,224636,"19,512,250"
Sudan,30111,2063,24214,3834,232965,"44,641,909"
Malta,29661,402,28706,553,834763,"442,461"
Australia,29426,910,26361,2155,16161532,"25,730,082"
DRC,28542,745,25841,1956,143197,"91,662,959"
Madagascar,28541,506,24105,3930,155563,"28,241,598"
Maldives,25701,67,22796,2838,670883,"547,933"
Angola,23549,554,22093,902,443086,"33,655,110"
Rwanda,23535,316,21272,1947,1224739,"13,200,639"
Guinea,21106,136,18686,2284,416078,"13,408,133"
Gabon,20971,129,17762,3080,669004,"2,266,390"
Syria,20331,1385,14122,4824,103566,"17,829,667"
Mayotte,19706,167,2964,16575,165683,"277,909"
Cabo Verde,19110,184,17399,1527,136977,"560,687"
French Polynesia,18666,141,4842,13683,26355,"282,174"
Eswatini,18393,669,17682,42,173720,"1,169,515"
Mauritania,18035,450,17373,212,215922,"4,744,159"
French Guiana,17706,94,9995,7617,171169,"304,669"
Réunion,17508,123,16011,1374,100098,"900,292"
Mongolia,16603,27,9887,6689,2492932,"3,319,290"
Tajikistan,13308,90,13218,0,844275,"9,703,563"
Burkina Faso,12989,153,12627,209,175352,"21,346,254"
Haiti,12855,251,11513,1091,60085,"11,510,653"
Andorra,12581,121,11890,570,193595,"77,362"
Somalia,12566,618,5270,6678,100631,"16,235,833"
Belize,12503,318,12134,51,106371,"403,229"
Guadeloupe,12140,174,2242,9724,159029,"400,177"
Togo,12034,116,9303,2615,292368,"8,428,939"
Mali,12002,414,7166,4422,243860,"20,701,344"
Hong Kong,11608,207,11227,174,11193673,"7,544,369"
Curaçao,11385,68,6845,4472,85247,"164,617"
Guyana,11189,257,9751,1181,99746,"789,513"
Lesotho,10709,315,5028,5366,71629,"2,155,481"
South Sudan,10381,114,10148,119,139846,"11,295,828"
Congo,10084,137,8208,1739,92500,"5,623,185"
Aruba,10076,92,9468,516,136656,"107,120"
Djibouti,9975,100,8184,1691,140642,"999,165"
Bahamas,9460,190,8865,405,80573,"396,170"
Suriname,9316,182,8700,434,46195,"590,726"
Martinique,9028,57,98,8873,133358,"375,038"
Papua New Guinea,8821,69,846,7906,70260,"9,078,488"
Trinidad and Tobago,8441,146,7775,520,117847,"1,403,025"
Benin,7515,93,6452,970,548484,"12,368,739"
Equatorial Guinea,7219,106,6799,314,115364,"1,438,522"
Nicaragua,6727,179,4225,2323,844275,"6,685,869"
Iceland,6267,29,6140,98,562645,"342,969"
Gambia,5602,168,5145,289,59297,"2,469,123"
CAR,5491,74,5056,361,40907,"4,894,947"
Yemen,5446,1068,2059,2319,22934,"30,334,834"
Niger,5081,189,4760,132,93751,"24,881,206"
San Marino,4962,86,4510,366,56114,"33,987"
Cambodia,4696,33,2252,2411,782811,"16,898,828"
Chad,4641,167,4298,176,110863,"16,789,929"
Seychelles,4444,25,4161,258,21504,"98,822"
Saint Lucia,4355,64,4179,112,37758,"184,282"
Gibraltar,4277,94,4181,2,219808,"33,683"
Channel Islands,4051,86,3956,9,399901,"175,111"
Sierra Leone,4008,79,2831,1098,118332,"8,102,739"
Comoros,3789,146,3577,66,844275,"883,955"
Barbados,3734,44,3613,77,146355,"287,650"
Guinea-Bissau,3680,66,3069,545,60281,"2,004,008"
Eritrea,3466,10,3196,260,23693,"3,584,575"
Burundi,3154,6,773,2375,90019,"12,164,194"
Liechtenstein,2754,56,2625,73,32252,"38,213"
Vietnam,2707,35,2445,227,2598753,"98,020,700"
New Zealand,2587,26,2459,102,1948223,"5,002,100 "
Monaco,2377,31,2247,99,51953,"39,459"
Turks and Caicos,2357,17,2283,57,41059,"39,124"
Sao Tome and Principe,2267,35,2188,44,12597,"222,316"
Sint Maarten,2185,27,2118,40,25304,"43,255"
Liberia,2042,85,1899,58,79684,"5,149,709"
Bermuda,1891,16,998,877,217688,"62,098"
St. Vincent Grenadines,1806,10,1665,131,43985,"111,215"
Saint Martin,1693,12,1399,282,26385,"39,178"
Isle of Man,1574,29,1445,100,44761,"85,384"
Caribbean Netherlands,1519,14,1396,109,10011,"26,413"
Antigua and Barbuda,1198,30,938,230,16493,"98,561"
Mauritius,1197,15,797,385,358675,"1,273,416"
Taiwan,1062,11,1027,24,513203,"23,850,438"
Timor-Leste,1046,1,550,495,50556,"1,337,923"
Bhutan,921,1,875,45,652722,"778,220"
St. Barth,907,1,462,444,26385,"9,901"
Faeroe Islands,661,1,660,0,246793,"49,008"
Cayman Islands,516,2,487,27,84802,"66,322"
Tanzania,509,21,183,305,844275,"61,048,540"
Wallis and Futuna,437,5,44,388,1331,"11,084"
Brunei ,219,3,206,10,116596,"440,741"
British Virgin Islands,178,1,159,18,13223,"30,388"
Dominica,165,763,159,6,13500,"72,126"
Grenada,155,1,152,2,23989,"112,930"
New Caledonia,121,763,58,63,29182,"287,635"
Fiji,68,2,64,2,40300,"901,508"
Falkland Islands,60,763,54,6,7165,"3,558"
Laos,52,763,49,3,143481,"7,357,605"
Macao,49,763,48,1,4418,"656,216"
Saint Kitts and Nevis,44,763,44,0,12381,"53,492"
Greenland,31,763,31,0,20669,"56,847"
Vatican City,27,763,15,12,844275,803
Anguilla,25,763,22,3,14579,"15,107"
Saint Pierre Miquelon,24,763,24,0,5126,"5,772"
Montserrat,20,1,19,0,1313,"4,994"
Solomon Islands,19,763,18,1,4500,"699,918"
Western Sahara,10,1,8,1,844275,"608,703"
Marshall Islands,4,763,4,0,844275,"59,501"
Samoa,3,763,2,1,844275,"199,442"
Vanuatu,3,763,1,2,470,"312,702"
Micronesia,1,763,1,0,844275,"115,962"
China,90435,4636,85506,293,160000000,"1,439,323,776 "
